cnty,name,price,state
barrow-county-ga,Barrow County,225083,GA
bartow-county-ga,Bartow County,209751,GA
ben-hill-county-ga,Ben Hill County,80765,GA
berrien-county-ga,Berrien County,110217,GA
bibb-county-ga,Bibb County,98768,GA
bleckley-county-ga,Bleckley County,113221,GA
brantley-county-ga,Brantley County,114629,GA
brooks-county-ga,Brooks County,123964,GA
bryan-county-ga,Bryan County,255018,GA
bulloch-county-ga,Bulloch County,158756,GA
burke-county-ga,Burke County,105477,GA
butts-county-ga,Butts County,143550,GA
calhoun-county-ga,Calhoun County,57967,GA
camden-county-ga,Camden County,193473,GA
candler-county-ga,Candler County,123556,GA
carroll-county-ga,Carroll County,190072,GA
catoosa-county-ga,Catoosa County,186058,GA
charlton-county-ga,Charlton County,118182,GA
chatham-county-ga,Chatham County,212270,GA
chattahoochee-county-ga,Chattahoochee County,75639,GA
chattooga-county-ga,Chattooga County,87087,GA
cherokee-county-ga,Cherokee County,319473,GA
clarke-county-ga,Clarke County,219248,GA
clay-county-ga,Clay County,87387,GA
clayton-county-ga,Clayton County,156576,GA
clinch-county-ga,Clinch County,80599,GA
cobb-county-ga,Cobb County,311404,GA
coffee-county-ga,Coffee County,114642,GA
colquitt-county-ga,Colquitt County,97217,GA
columbia-county-ga,Columbia County,235781,GA
cook-county-ga,Cook County,101481,GA
coweta-county-ga,Coweta County,258094,GA
crawford-county-ga,Crawford County,136124,GA
crisp-county-ga,Crisp County,103491,GA
dade-county-ga,Dade County,162646,GA
dawson-county-ga,Dawson County,292011,GA
decatur-county-ga,Decatur County,107664,GA
dekalb-county-ga,DeKalb County,259235,GA
dodge-county-ga,Dodge County,88287,GA
dooly-county-ga,Dooly County,85270,GA
dougherty-county-ga,Dougherty County,85461,GA
douglas-county-ga,Douglas County,215058,GA
early-county-ga,Early County,92821,GA
echols-county-ga,Echols County,99986,GA
effingham-county-ga,Effingham County,203022,GA
elbert-county-ga,Elbert County,97062,GA
emanuel-county-ga,Emanuel County,79512,GA
evans-county-ga,Evans County,100734,GA
fannin-county-ga,Fannin County,270508,GA
fayette-county-ga,Fayette County,331282,GA
floyd-county-ga,Floyd County,144408,GA
forsyth-county-ga,Forsyth County,398291,GA
franklin-county-ga,Franklin County,159249,GA
fulton-county-ga,Fulton County,335406,GA
gilmer-county-ga,Gilmer County,216170,GA
glascock-county-ga,Glascock County,116872,GA
glynn-county-ga,Glynn County,235099,GA
gordon-county-ga,Gordon County,154379,GA
grady-county-ga,Grady County,136555,GA
greene-county-ga,Greene County,377100,GA
gwinnett-county-ga,Gwinnett County,280849,GA
habersham-county-ga,Habersham County,179848,GA
hall-county-ga,Hall County,261037,GA
hancock-county-ga,Hancock County,107187,GA
haralson-county-ga,Haralson County,144680,GA
harris-county-ga,Harris County,259406,GA
hart-county-ga,Hart County,185933,GA
heard-county-ga,Heard County,130853,GA
henry-county-ga,Henry County,226615,GA
houston-county-ga,Houston County,160437,GA
irwin-county-ga,Irwin County,103327,GA
jackson-county-ga,Jackson County,256502,GA
jasper-county-ga,Jasper County,163374,GA
jeff-davis-county-ga,Jeff Davis County,93646,GA
jefferson-county-ga,Jefferson County,77060,GA
jenkins-county-ga,Jenkins County,73674,GA
johnson-county-ga,Johnson County,79542,GA
jones-county-ga,Jones County,158655,GA
lamar-county-ga,Lamar County,142370,GA
lanier-county-ga,Lanier County,129369,GA
laurens-county-ga,Laurens County,117950,GA
lee-county-ga,Lee County,187168,GA
liberty-county-ga,Liberty County,149613,GA
lincoln-county-ga,Lincoln County,160550,GA
long-county-ga,Long County,181905,GA
lowndes-county-ga,Lowndes County,140822,GA
lumpkin-county-ga,Lumpkin County,226581,GA
mcduffie-county-ga,McDuffie County,128081,GA
mcintosh-county-ga,McIntosh County,161463,GA
macon-county-ga,Macon County,58617,GA
madison-county-ga,Madison County,172621,GA
marion-county-ga,Marion County,113207,GA
meriwether-county-ga,Meriwether County,106475,GA
miller-county-ga,Miller County,110048,GA
mitchell-county-ga,Mitchell County,87642,GA
monroe-county-ga,Monroe County,205136,GA
